코드,원료명,공급사,단가,원산지,포장단위,분류,기능성,규격,비고
SRC21-0294,수크랄로스,(미지정),44000,,,일반식품,N,,
SRC21-0295,스테아린산 마그네슘,(미지정),6000,,,일반식품,N,공장,
SRC21-0296,스피루나분말,(미지정),42000,미국,20,일반식품,N,태성,
SRC21-0297,스피루리나분말,화인컴퍼니,42000,대만,25,일반식품,N,,부가별도
SRC21-0298,식물스테롤,(미지정),65000,인도,25,일반식품,N,하이베이스,
SRC21-0299,식물스테롤,(미지정),75000,미국,15,일반식품,N,하이베이스,
SRC21-0300,식물혼합추출물,(미지정),48000,국산/중국,20,일반식품,N,하이베이스,
SRC21-0301,신데렐라복합추출분말,(미지정),200000,,,일반식품,N,1일 300mg MOQ30만 30만포,규격원문: 국내특허
SRC21-0302,실크펩타이드,(미지정),145000,중국,10,일반식품,N,,
SRC21-0303,쌀마그네슘,(미지정),68000,국산,,일반식품,N,하이베이스17%,
SRC21-0304,쏘팔메토오일,(미지정),115000,인도,,일반식품,N,27.50%,
SRC21-0305,쏘팔메토오일,(미지정),190000,미국,,일반식품,N,28.00%,
SRC21-0306,아가베시럽(유기농),(미지정),15000,,,일반식품,N,,
SRC21-0307,아구아헤,(미지정),180000,,,일반식품,N,,
SRC21-0308,아누카사과추출물,(미지정),67000,폴란드,10,일반식품,N,하이베이스(23/05/11),
SRC21-0309,아누카사과추출물,(미지정),180000,이탈리아,,일반식품,N,선일에프엔씨(23/05/17),
SRC21-0310,아누카사과추출물,(미지정),53000,이탈리아,,일반식품,N,프라임에이치엔비(23/09/13),
SRC21-0311,아누카사과농축액,(미지정),18000,이탈리아,,일반식품,N,프라임에이치엔비(23/09/13),
SRC21-0312,아르기닌,(미지정),28000,국산,20,일반식품,N,,
SRC21-0313,아르기닌,원아,9500,중국,25,일반식품,N,,부가세별도
SRC21-0314,아르기닌,ambe,22000,인도,,일반식품,N,단톡방(박대표),
SRC21-0315,아몬드단백분말,(미지정),36000,,11.34,일반식품,N,,
SRC21-0316,아미노믹스9종,(미지정),98000,,5,일반식품,N,"페닐아라닌,메티오닌,트립토판,히스티딘",
SRC21-0317,아밀라아제,(미지정),70000,,,일반식품,N,4000만유닛/g,
SRC21-0318,아스파탐,(미지정),35000,중국,,일반식품,N,,
SRC21-0319,아카시아꿀,(미지정),10000,,,일반식품,N,,
SRC21-0320,아티초크추출분말,(미지정),40000,프랑스,25,일반식품,N,"페닐아라닌,메티오닌,트립토판,히스티딘",
SRC21-0321,아티초크추출분말,(미지정),50000,스페인,25,일반식품,N,,
SRC21-0322,아티초크추출분말,(미지정),58000,스페인,25,일반식품,N,태성(최준호과장)23/06/27,
SRC21-0323,알긴산나트륨,하이베이스,32500,중국,25,일반식품,N,,
SRC21-0324,아로니아농축액,(미지정),7000,폴란드,250,일반식품,N,하이베이스,
SRC21-0325,아로나이농축액,해찬솔,7800,,20,일반식품,N,해찬솔,
SRC21-0326,아삭이고추추출분말,(미지정),14000,국산,20,일반식품,N,해찬솔,
SRC21-0327,알로에베라추출분말,(미지정),195000,,25,일반식품,N,미국/건식/200:1(총다당채함량100mg/g)(10%),
SRC21-0328,알로에베라추출분말,(미지정),58000,,,일반식품,N,미국/건식/100:1(총다당체함량50mg/g)(5%),
SRC21-0329,야관문추출물분발(비수리),(미지정),35000,,20,일반식품,N,,
