excelId,원료명,복구내역
390,유산균(락토바실러스람노서스GG,"company→origin(""국내산"")"
401,유산균(비피도박테리움 브레브),"company→packing(""5"")"
402,유산균(비피도박테리움 애니멀리스 락티스),"company→packing(""5"")"
418,유자과즙분말,"company→origin(""국산"")"
419,유자과즙분말,"company→origin(""국산"")"
420,은행잎추출물,"company→origin(""미국"")"
421,이노시돌,"company→origin(""미국"")"
422,이노시톨,"company→origin(""독일"")"
423,이노시톨(미오),"company→origin(""중국산"")"
424,이노시톨(미오),"company→origin(""미국"")"
425,이눌린치커리,"company→origin(""벨기에"")"
428,이토시톨,"company→origin(""중국"")"
429,인디언구스베리분말,"company→origin(""인도"")"
430,인디언구스베리분말,"company→origin(""인도산"")"
432,자당지방에스테르S-370,"company→origin(""일본"")"
433,자일리톨,"company→origin(""중국"")"
435,잔탄검,"company→origin(""중국"")"
436,잔탄검,"company→origin(""오스트리아"")"
442,쥐오줌풀(발레리안),"company→origin(""이탈리아"")"
445,차전자피분말,"company→origin(""인도"")"
446,차전자피분말,"company→origin(""인도"")"
447,차즈기추출분말,"company→origin(""국산"")"
448,차즈기추출분말,"company→origin(""국산"")"
449,천마농축분말(고형분10%),"company→비고(규격값 ""20(100MOQ)"")"
450,천마농축분말(일반),"company→packing(""20"")"
451,천마복합추출물(개별인정형),"company→packing(""10"")"
452,철(락토바실러스불가리쿠스),"company→origin(""미국"")"
454,청포도과즙분말,"company→origin(""미국"")"
458,초유분말,"company→origin(""미국"")"
459,초유분말,"company→origin(""미국"")"
462,치자추출물,"company→origin(""중국산"")"
463,치자추출물,"company→origin(""국산"")"
467,카나우바왁스,"company→packing(""25"")"
468,카르니틴,"company→origin(""중국"")"
469,카르니틴(L),"company→origin(""중국"")"
470,카무카무분말,"company→origin(""페루"")"
471,칼슘(구연산),"company→origin(""미국"")"
472,"칼슘(밀크,유청)파우더","company→origin(""덴마크"")"
473,"칼슘(밀크,유청)파우더","company→origin(""독일"")"
474,칼슘(밀크칼슘),"company→origin(""뉴질랜드산"")"
475,칼슘(밀크칼슘),"company→origin(""독일산"")"
476,"칼슘(밀크,유청)파우더","company→origin(""뉴질랜드산"")"
477,칼슘(산호),"company→origin(""미국"")"
478,칼슘(산호),"company→origin(""미국"")"
479,칼슘(어골),"company→origin(""미국"")"
480,칼슘(탄산),"company→origin(""일본산"")"
481,칼슘(해조),"company→origin(""프랑스"")"
482,칼슘(해조)아쿠아민,"company→origin(""영국산"")"
484,코엔자임Q10,"company→origin(""미국"")"
485,코엔자임Q10,"company→origin(""인도"")"
486,코엔자임Q10,"company→origin(""중국"")"
487,코코넛오일,"company→origin(""필리핀산"")"
493,콜라겐(비변성2형),"company→origin(""일본산"")"
495,콜라겐(어린피쉬),"company→origin(""캐나다"")"
496,콜라겐(피쉬),"company→origin(""대만"")"
497,콜라겐(피쉬),"company→origin(""베트남"")"
499,콜라겐(피쉬),"company→origin(""국내"")"
500,콜라겐분말,"company→origin(""프랑스"")"
501,콜라겐분말,"company→origin(""이테리"")"
502,콜레우스포스콜리추출물,"company→origin(""인도"")"
507,퀘르세틴,"company→origin(""인도"")"
508,크레아틴,"company→origin(""중국산"")"
509,키토산,"company→origin(""중국산"")"
510,타우린,"company→origin(""중국산"")"
511,타트체리농축액,"company→origin(""터키"")"
512,타트체리농축액,"company→origin(""터키"")"
513,타트체리분말,"company→origin(""터키"")"
515,탈지대두,"company→비고(규격값 ""원산지별 2000대"")"
516,터,"company→origin(""터키"")"
517,테아닌,"company→origin(""중국"")"
518,테아닌,"company→origin(""중국산"")"
519,토마토추분말,"company→origin(""칠레산"")"
520,토마토추출분말(건식원료)(액상),"company→origin(""이스라엘"")"
521,토마토추출분말(건식원료)(액상),"company→origin(""인도"")"
522,토코페롤(DA),"company→origin(""프랑스"")"
