미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
유산균(비피도박테리움 브레브),390000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(비피도박테리움 애니멀리스 락티스),340000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(비피도박테리움비피덤),170000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(알러지),1300000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
"유산균(비염,면역)",1500000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(엔테코커스페슘분말),510000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(질유산균8종VL8),890000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(항비만유산균 10종혼합유산균F2200),1800000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
유산균(혼합분말)(17종),340000,,동일팜텍,보통,거래처 카탈로그,사균체유산균(BF bifidum),동일팜텍 품목리스트_2024.pdf,벨기에
갈근분말,14000,중국,하이베이스,보통,거래처 카탈로그,갈근(칡),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
갈근분말,12000,중국,하이베이스,보통,거래처 카탈로그,갈근(칡),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
감초분말,14000,,하이베이스,보통,거래처 카탈로그,감초,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
감초분말,15000,우즈베키스탄,하이베이스,보통,거래처 카탈로그,감초,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
구기자농축액,28000,국산,하이베이스,보통,거래처 카탈로그,구기자,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
구아바잎분말,65000,,하이베이스,보통,거래처 카탈로그,구아바,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
구아바잎분말,15000,,하이베이스,보통,거래처 카탈로그,구아바,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
글루타치온(L)효모추출물,160000,중국,하이베이스,보통,거래처 카탈로그,글루타치온(효모),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
탈지대두,2000,,하이베이스,보통,거래처 카탈로그,"대두(백태,흑태=검은콩)",247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
더덕분말,37000,국산,하이베이스,보통,거래처 카탈로그,더덕,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
두충분말,15000,국산,하이베이스,보통,거래처 카탈로그,두충,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
락추로스분말50,15000,,하이베이스,보통,거래처 카탈로그,락추로스,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
레드비트농축분말,18000,,하이베이스,보통,거래처 카탈로그,레드비트,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
레드비트농축분말,17000,,하이베이스,보통,거래처 카탈로그,레드비트,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
레몬 밤 추출물,150000,,하이베이스,보통,거래처 카탈로그,레몬밤(멜리사),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
레몬밤추출물,150000,국산,하이베이스,보통,거래처 카탈로그,레몬밤(멜리사),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
레몬밤추출물(일식원료),14000,중국,하이베이스,보통,거래처 카탈로그,레몬밤(멜리사),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
보리분말,11000,,하이베이스,보통,거래처 카탈로그,보리,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복령분말,22000,중국,하이베이스,보통,거래처 카탈로그,복령(백복령),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
